store_name,store_code
날이 좋아서,1098930324
J&J,38508524
비어캐슬,18547033
양재비어,1413299485
시그넷 드링킹 앤더슨,37168581
YSC만땅 양재점,1585513831
이십세기,1760263228
뎅,1285833838
둥지포차,1282881517
비어씨티,1179814231
을지로골뱅이 대치점,1071871473
스테이츠맨,1382273270
비어팩토리,13107012
해오름,1739411833
와인아트피아,31583666
POSSEWESTERN,36411378
노박사골뱅이,20885765
추억의오뎅바,1001488285
산전수전,1831858245
치어스개포점,18799768
술래잡기,18243397
노가리청춘,1992278462
바보스 양재점,34326027
레드제플린,18593968
이모포차,20874080
로얄출장부페,1100449147
그린뉴밀,1918686872
러빙헛 스마일,20570102
베지그린,94880009
서퍼스 포케,1193401850
써브웨이 포이사거리점,1795178783
서브웨이 대치도곡점,1049826804
메이플델리,1552725574
본도시락 도곡동점,216425966
한솥도시락 개포4동점,30927051
한솥도시락 매봉역점,11655781
본도시락 양재중앙점,21817317
밀샵,72910533
한솥도시락 개포5단지점,13376603
한솥도시락 양재구룡사점,13376677
더감성,1681549502
죠샌드위치 매봉점,20595865
리더스나인,18710976
샌드프레소 강남세브란스병원점,645205641
덮덮밥 서울대치점,1541252540
죠샌드위치 도곡렉슬점,18550747
아리푸드시스템,11568892
공룡꼼장어&불닭,38780230
삼시세끼한식,38780324
샌드프레소 양재점,1383045255
FRESH HOLIC,932143280
우인식당,37433111
예도락,21406990
찐도시락,1561241725
문가출장연회,31689632
더부페클래식,20631119
강남초장,1277913587
도야족발 개포점,38494858
개포동손칼국수,1890537036
두찜 강남개포점,1898975949
이모네전,1884878916
고깃집 심서방,18419670
왕대감참숯화로왕갈비 개포점,11876152
광수육회 개포점,1972017607
본죽 개포동역점,12972874
장어미식가 개포점,1658125558
우리생고기,36004730
강남회수산,1331528479
요리정원On,1692723661
예담식당,1348501266
장어미식가 개포2호점,1700919417
밥사랑주사랑,1165137215
심숙이쭈꾸미낙지철판볶음,37997186
미도한우마을,13152197
국수나무 개포점,18424076
우신닭발,20889521
주매니아,13346629
주박사 닭갈비,1386806494
장독묵은지,18419672
참숯마포생소금구이,1750969403
늘봄스넥,75844921
전주사철탕,13160663
뻑꺼구이촌,18419638
신의주찹쌀순대,1334486818
강남수산,18419408
초록봉평메밀막국수,1519333905
진미김밥,18572274
개포골,36003999
돈디저트가있는밥집,1107737141
유미분식,1676441391
곽선생왕만두,1621541340
수황태콩나물국밥,1054177577
곤드레국수집,20870299
심서방포차,896437819
할매순대국 개포동점,1764324877
원조식당,1439599983
만나분식,13018228
신의주순대국감자탕,751778275
시나브로,1721725150
미도식당,1098141096
굿데이,34906669
불티나 봉평메밀막국수,1203242428
미소식당,1032077423
더드림 개포본점,1148726731
사라치,1497627760
밥먹자국밥집,1347507049
할매보쌈개포점,455193426
강남왕만두 개포점,1009952399
왕대박,1929326983
김명곤드레,1385005297
산월수제비,11885058
엄마의손맛,1586800496
산야초맘반찬가게,37426291
정원,1001539854
미러칼국수,33879310
신의주찹쌀순대,20885730
막골,1775269722
할매재첩국 대치점,11875250
한티옥,18466341
미스꼬레아,1650035066
대치상회,36939821
명가원설농탕 대치점,507653831
소문난바지락칼국수,11699732
오발탄 대치점,1176653325
철따라자연산,1354431463
산들섬 팔도비빔밥,31936039
고영국참치,1137762762
석배,18419658
강남면옥 대치점,19882439
대청뼈다귀감자탕,20627260
덕분이네,155341570
스시류 일원본점,1305122614
호천당 대치직영점,582772159
치마오,38521824
긴자료코 대치점,1758869498
돈프리미어,1916641972
미소야대치점,11761293
지구당 대치은마점,1185108827
킹스덮밥 대치점,1658381656
소소한식당,37662696
방이샤브칼국수 대치점,20661560
날으는 돈까스,33830859
맛있는돈까스,20627521
본정돈까스,37341263
미소야 일원점,11761384
사보텐 대치점,1093917153
천매도,13159764
미스터빠삭 대치은마점,1672751079
유채라멘,1137833773
키와미,1165904418
숙성회전문 스시류 일원점,1475395878
돈까스짱 대치점,1171784161
대치하루,1906002528
진가샤브샤브,33906614
미소야 대치2호점,11761292
오하라,1515105779
봉초밥,1295354971
화원,18572279
모리,342041480
대도회일식,1543731336
난모밀우동,11695073
진여사생등심돈까스,1596789135
미도야,122794319
청송일식,19873548
소소한식당 대치2호점,1495345734
유다까푸드카페,1136264851
오뎅과사케,1973540522
돈까츠당,1476847605
대한명품육회 유케야,1486133643
"튀밥, 튀기고 밥먹고 본점",1203746393
상록수돈까스,35806471
라이라이,37534358
이비가짬뽕 대치점,1297726044
왕재,33480438
미래향,34344857
칠리향 마라탕 대치점,1994293933
남경반점,18464113
홍콩반점0410 대치은마점,13590808
미니하이보 대치점,633157715
난랑,33879512
수타손짜장,1750362890
만리장성,35272546
홍짜장 개포점,1657594870
옛날손짜장,1533833310
일조룡,1049168192
한성,33067840
연경,1273654732
황궁쟁반,1920559312
라화쿵부 대치점,1642218224
취화선,34344781
포나타이,21224639
은마쌀국수,1271024055
다낭월남쌈,1058705895
사이공본가 대치점,1221397577
리틀하노이 서울대치점,1094511808
잔치카르텔,1296862910
카페엠,13291611
할아버지돈까스,18468391
비첼 레스토랑,36046991
파스타앤도우,36091040
돈프리미어,1524575557
마토네,1124528813
롤링파스타 대치점,1697733808
파스타코코,20629623
돼지오빠,36177609
고짱,36867705
튀김아저씨,38337730
정성한줄 대치점,36534030
오로라 김밥,1514591801
명성황후,38633045
135튀김집 대치은마점,1279874245
은마왕만두,19882424
바르다김선생 대치은마점,34550621
이삭토스트 대치은마점,18472631
오늘애김밥 대치은마점,1714899259
김가네김밥 학여울역점,11761162
김가네김밥 일원점,11761089
오마뎅 대치점,649171345
이삭토스트 서울대치점,38227416
응급실국물떡볶이 서울대치점,1540805739
북문로떡볶이 개포점,51878142
레드175 은마점,707406918
맛나분식,18850198
이삭토스트 일원점,38227419
지니김밥,1826337817
맘마분식,1364144268
오뎅매니아 대치본점,38275967
김밥천국 개포점,1462007867
죠스떡볶이 대치은마점,1691846739
국민떡볶이,1561647611
우성김밥,11594474
닥치고떡볶이 강남직영점,1530350067
봉구스밥버거 대치점,33586155
싸다김밥 대치역점,1008184124
공원분식,20632742
김가네김밥 대치3호점,36395536
교자공방 대치본점,1181266988
자매떡볶이 대치점,1541187200
우리집김밥,20889522
배떡 대치점,1246272418
소망김밥,1816121970
혜성손만두 강남점,1314255520
행복 Dream 토스트,964354588
정삼이네수제비김밥,1427253138
레드175 한티역점,203103608
김밥마을 일원2호점,31427422
민여사김밥,1356517757
마마롤 대치점,1822971699
먹쉬돈나 가맹본부,38403842
새마을운동중앙회 구내매점,1469406031
카파노,1181608808
UFO버거 대치점,1881212225
노브랜드버거 대치점,1170191461
보스버거,1214382781
KFC 일원동점,1116538094
KFC대치동점,19488186
맥도날드 한티점,19377480
에픽버거,1018977880
핫도그앤커피 엑소엑소,1828939707
버거킹 대치점,1805522645
고피자 대치본점,1699303163
피자리아 시오,35965133
피자마루 서울대청점,13395488
파파존스 수서점,11684850
도미노피자 일원점,37910251
피자스쿨 대치점,34564872
피자헛 대치동점,1368288750
피자헛 수서일원점,11625076
피자알볼로일원수서점,38014582
왓츠피자 대치점,1847859705
캠토 대치점,35117140
피자먹다 은마점,1195817782
마미치킨,19497285
오미닭강정,31526161
꼬꾸이 누룽지 통닭구이 일원점,1697565661
굽네치킨 대치1동4동점,12864560
BBQ 대청점,11798820
교촌치킨 대치2호점,11801947
굽네치킨 대치2동점,13168685
용천옛날통닭,1753961040
맘스터치 대치학원가점,1087032036
티바두마리치킨 대치점,1847029965
처갓집양념치킨 일원점,11782765
BBQ치킨 대치은마점,11798823
닭장수후라이드 대치점,1523707260
깐부치킨 은마아파트점,1992406705
깐부치킨 일원동점,36091104
천하일미닭강정 일원점,1801813829
소보루치킨,709114491
누룽지통닭구이,38772346
뜨레봉두마리치킨 일원점,37541336
엉클톰,1789996852
미미치킨,1761869665
빠삭후라이드 치킨,1022983335
가마로강정 대치은마점,1664416588
서장호,1411015979
을지로골뱅이,18476509
투다리 대치본점,1330905621
테바사키반초 대치점,1983210792
오늘와인한잔 일원점,1426663615
역전할머니맥주 서울일원점,1570808476
한울타리,1844065649
혜화시장 일원점,1190654899
자주포차,33770961
언플러그드,1419503815
팔도실비집 일원점,1178591617
치어스 강남일원점,1719319212
88노가리 일원점,1245962247
김준석꼬치,20629575
BEER PLANT,1415894340
지지미 대치점,35948404
블랙콜드 본점,1245334541
다비어스,1387037421
석탑호프치킨,464274168
꽁냥꽁냥,1490375910
토크쇼,18596075
한솔호프,21328335
원조실내포장마차,20642445
핑클,18569925
포인트,1401428648
클린턴광장,1560829276
영심이네 실내포차,1228771284
마루호프,1936517058
또바기포차,1881556536
마당호프,1611963384
7080LIVEMUSIC,20632732
Feeling,20827549
휠링,18575228
파필리오,32417451
압구정샌드위치,1047894090
반미362 대치점,1430658622
써브웨이 대청점점,20709267
홍루이젠 대치점,1726479984
샌드리아 일원점,1480424547
뜸들이다 대치점,1631007878
홍루이젠 일원점,1145888785
테이블스푼 대치점,210506143
한솥도시락 일원점,13376614
돌깨마을참도시락,1645870726
본도시락 대치은마점,31498593
한솥도시락 대치은마점,31068002
한솥대치삼성아파트입구점,13376605
꼬망쎄,1433272143
라헬키친,1845951227
잔치부페,11550824
맛나곱창,38780265
강남맛집,13486379
벤또랑 대치점,1095669209
담이야식,1261341801
팔당곱도리,1970958256
버텍스 대치점,1644138812
설마중,36122875
라비드쿤,1978721092
치코,31906010
한국순대 본점,32254662
라그릴리아 양재점,12962167
영동족발 본점,12917286
이조갈비탕,20421134
이상한나라의 미쓰윤,790591623
영동족발 양재3호점,19867538
일품헌 양재점,33500262
테라스,18255724
느린마을양조장 양재점,20706596
원조부안집 양재점,1485719894
양재닭집,35136252
배나무골오리집 양재본점,11679514
쌍다리돼지불백 양재점,1095244358
오선채,573699969
THE맛있는곱창,37615255
고창식당,1646838473
만두랑,1516020578
양평서울해장국큰아들집 양재점,1560571787
평가옥 양재점,13483829
해우름,36459324
무초,1688063777
새우닭 양재역점,1000436386
호미곶,38276649
족황상제 개포점,79452707
생연어집,399895808
우산식당,1586186778
옛날농장 매헌점,30975916
삼일정육식당,19873593
단이네벌교꼬막 강남점,1014199464
아주방,1906545583
낭만삼겹살,1233423740
나오스시,1643112856
한양돈까스,38264349
정석초밥,1198510557
스시문,31044267
메차쿠차돈가스 양재본점,18249670
서린,18248815
무샤 양재,21642697
강남돈가스 본점,1085467807
무샤무샤,974786839
미소야 양재점,11761360
왕돈까스&왕냉면 양재점,20832211
돈덴돈까스,1089059135
명품수제돈까스,1450323274
수작카츠 양재점,1914751690
제이드프러스,1905162168
압구정꼬치1991 신논현점,760908381
미면정 양재칼국수 샤브샤브,1017653627
착한해물,1043792867
참치랜드,18755646
오사카식당 양재점,1145956305
이가네양꼬치 양재2호직영점,240373085
마오 양재점,12072495
화차이,193891932
원조훠궈샤브샤브,1626163956
넷째네 양꼬치&양갈비,1249008429
가양양꼬치 양재점,38463880
원조양꼬치 양재1호점,37446539
상지원,1060550324
초류향,1427943416
태양꼬치,58927986
샹차이,716433493
동보성,18242063
일품향,1201662621
도담그루,1920656315
백일향,34461107
원조양꼬치,1991104268
금도양꼬치,1829201398
마라반점,1883854293
태국식당356,46696494
The Andaman,33050016
빠스타,450428747
PLUSABLE,33996696
포누이루시,836099855
포본 양재점,1483040537
스트릿 양재점,1942330720
포첸하우스 도곡동직영점,1473794231
도마베이커리앤테스트키친,1204874333
올리앤 양재점,1998358333
극장,1877685040
까르보마마,31044613
에스프릿셰프,452763968
오블레싱,13357671
티아라파티하우스,20582127
이디즈키친 도곡점,1326314799
양떡,38659970
스쿨푸드 딜리버리 양재점,219913720
선릉역매운떡볶이 양재점,37658022
싸다김밥 양재시민의숲역점,1385900514
김밥애빠지다 양재본점,310013606
다옴 양재온누리점,637460878
김가네김밥 양재2호점,11761035
맘스수제분식,1302918789
간식타임,1330349640
도도분식,438806867
고모손김밥분식,20912952
김밥라면,1195888814
이태리떡볶이,1035957278
찰스숯불김밥 역삼스타점,1931917140
김밥사랑분식,1901446475
싸다김밥 양재점,1062298671
도라지김밥,1158388761
현정분식,1352480565
토바기김밥 양재점,1877154011
리얼떡볶이,1798460880
얌얌 양재점,34098856
이삭토스트 양재역점,38227417
바르다김선생 양재점,1980799959
죠스떡볶이 양재점,1204334731
다우가왕만두김밥 양재점,1034905551
식겁라면순두부 도곡점,1270363005
황제만두,20636669
맥도날드 양재SKDT점,374236443
SALMOS231,445245723
THE RED,929477970
롯데리아 양재동점,713718623
제레미버거,35307516
피자와치킨의러브레터 양재점,13475288
피자스쿨 양재점,13154165
반올림피자샵 양재점,1023613420
피자생각 양재점,1859374665
도프피자 베이커스,1900499029
빨간모자피자 양재점,11781553
가마치통닭 양재점,1844294668
치킨빠스 양재점,31400937
구구치킨을지로골뱅이 양재본점,1156317152
교촌치킨 양재1호점,19958061
꾸브라꼬 숯불두마리치킨 양재점,1596153533
가마로강정 양재역점,31663210
페리카나 양재점,11800475
BBQ치킨 양재점,1830380261
네네치킨 양재점,19900121
깐부치킨 양재매헌역점,33409309
뉴트로치킨,1845409950
BBQ치킨 양재행복점,1538777514
킴스치킨포차,1700038865
효준치킨,1667746033
사또양념치킨양재2분점,18384343
더맛존,18240262
추억의통치킨양재동점,408882211
킴스치킨포차 양재점,1652577827
또봉이통닭 서울도곡점,1188904397
꿍닭꿍닭 도곡본점,35475966
블레드 양재점,1124530562
세븐키친강남,1108515981
을지로꾸운닭 도곡점,1098431702
잠수부네 해산물실내포차 양재점,1227214276
심야식당,37657812
Portable Loft,92283810
에떼,18255268
백화네부엌,38709080
진여사댁,1660867179
식감이야기 양재점,1788599337
박고볼래실내포차,13323748
심야식당 고메,1598343329
믹스테잎,1371072291
브롱스 양재점,1337060107
오늘와인한잔 양재점,1359070390
오늘와인한잔 양재시민의숲점,1732121799
그집,35228313
Plan B,888972873
비스트로탄탄,1272349453
와따가,1927651208
미친노가리 양재점,35076025
펀비어킹 서초 양재역점,32708684
생활맥주 양재점,37541284
마린포차 본점,220894423
이층완우,1735144615
쿠파,1154976109
아미네,1943631536
료코이자카야,1906265186
오즈테이블,1575026547
이자카야 묘기,1708439855
레코드196,1012489746
크롬바커 비스트로,834290005
미스터몽크,36060032
투다리 양재역점,11763050
유남생,36060897
맛가,13349170
샐러드 더 플래닛,1277189359
한솥도시락 양재교육개발원입구점,13376678
리나스양재점,31806261
뚜또오케이 양재점,11632862
w샐러드,34778622
도시락카페 패밀리,1601452362
투고박스,31818878
샌드프레소 양재 본사점,1812333468
대구할매닭발,1049584320
웰키친 포케&키토김밥,1214275424
시골 도시락 강남본점,1425798797
김선생조개찜,812869774
호별관,1511230577
논현오뎅,1372829918
모스가든,1899944311
골뱅이신사,1744213648
쮸즈,34786487
마초쉐프 강남본점,36250128
포크댄스,1605812660
